,Unnamed: 0.1,Unnamed: 0,date,open,close,high,low,volumme
163,20.0,,2023-08-04 00:00:00,8.881,8.81,8.881,8.81,145
164,21.0,,2023-08-07 00:00:00,8.63,8.63,8.63,8.63,0
165,22.0,,2023-08-10 00:00:00,8.419,8.263,8.419,8.263,107
166,23.0,,2023-08-11 00:00:00,8.107,8.107,8.107,8.107,5
167,24.0,,2023-08-16 00:00:00,8.0,7.809,8.0,7.762,459
168,25.0,,2023-08-17 00:00:00,7.319,7.306,7.319,7.306,160
169,26.0,,2023-08-18 00:00:00,7.43,7.165,7.43,7.165,428
170,27.0,,2023-08-21 00:00:00,6.884,6.8,6.884,6.8,82
171,28.0,,2023-08-22 00:00:00,6.7,6.7,6.7,6.7,0
172,29.0,,2023-08-24 00:00:00,7.004,7.004,7.004,7.004,0
173,30.0,,2023-08-30 00:00:00,7.452,7.452,7.452,7.452,0
174,31.0,,2023-09-01 00:00:00,7.074,7.05,7.074,6.988,495
175,32.0,,2023-09-04 00:00:00,7.08,7.0,7.08,7.0,664
176,33.0,,2023-09-05 00:00:00,6.935,6.929,6.935,6.929,110
177,34.0,,2023-09-06 00:00:00,6.88,6.88,6.88,6.88,2000
178,35.0,,2023-09-07 00:00:00,6.605,6.605,6.605,6.605,0
179,36.0,,2023-09-11 00:00:00,6.723,6.5,6.723,6.5,209
180,37.0,,2023-09-12 00:00:00,6.575,6.575,6.575,6.575,0
181,38.0,,2023-09-18 00:00:00,6.742,6.742,6.742,6.742,2
182,39.0,,2023-09-19 00:00:00,6.4,6.4,6.4,6.4,0
183,40.0,,2023-09-21 00:00:00,6.2,6.2,6.2,6.2,0
184,41.0,,2023-09-25 00:00:00,5.905,5.861,5.905,5.861,150
185,42.0,,2023-09-26 00:00:00,5.94,5.94,5.94,5.94,84
186,43.0,,2023-09-27 00:00:00,5.906,5.949,5.949,5.906,11
187,44.0,,2023-09-28 00:00:00,5.9,5.9,5.9,5.9,84
188,45.0,,2023-09-29 00:00:00,6.082,6.082,6.082,6.082,80
189,46.0,,2023-10-03 00:00:00,5.8,5.8,5.8,5.8,0
190,47.0,,2023-10-10 00:00:00,6.073,6.073,6.073,6.073,0
191,48.0,,2023-10-12 00:00:00,5.8,5.8,5.8,5.8,0
192,49.0,,2023-10-18 00:00:00,6.094,6.094,6.094,6.094,1
193,50.0,,2023-10-19 00:00:00,5.723,5.723,5.723,5.723,0
194,51.0,,2023-10-23 00:00:00,5.728,5.815,5.817,5.728,2000
195,52.0,,2023-10-24 00:00:00,6.85,6.85,6.85,6.85,0
196,53.0,,2023-10-26 00:00:00,6.45,6.45,6.45,6.45,70
197,54.0,,2023-10-27 00:00:00,6.314,6.314,6.314,6.314,234
198,55.0,,2023-11-13 00:00:00,6.309,6.309,6.309,6.309,0
199,56.0,,2023-11-28 00:00:00,6.65,6.898,6.968,6.65,12499
200,57.0,,2023-11-29 00:00:00,7.27,7.27,7.27,7.27,0
201,58.0,,2023-12-04 00:00:00,8.509,8.509,8.509,8.509,0
202,59.0,,2023-12-27 00:00:00,11.289,12.097,12.27,11.289,4370
203,60.0,,2023-12-28 00:00:00,12.961,12.961,12.961,12.961,0
204,61.0,,2024-01-02 00:00:00,11.457,11.457,11.457,11.457,0
205,62.0,,2024-01-08 00:00:00,10.022,10.022,10.022,10.022,0
206,63.0,,2024-01-09 00:00:00,10.63,10.63,10.63,10.63,0
207,64.0,,2024-01-16 00:00:00,8.489,8.489,8.489,8.489,0
208,65.0,,2024-01-22 00:00:00,7.683,7.471,7.691,7.409,1970
209,66.0,,2024-01-23 00:00:00,7.471,7.471,7.471,7.471,0
210,67.0,,2024-01-24 00:00:00,7.44,7.489,7.492,7.44,4255
211,68.0,,2024-01-25 00:00:00,7.322,7.341,7.341,7.322,270
212,69.0,,2024-01-26 00:00:00,7.504,7.504,7.504,7.504,0
213,70.0,,2024-01-30 00:00:00,8.577,8.568,8.577,8.568,355
214,71.0,,2024-01-31 00:00:00,8.134,8.134,8.134,8.134,0
215,72.0,,2024-02-05 00:00:00,8.025,8.025,8.025,8.025,0
216,73.0,,2024-02-07 00:00:00,7.718,7.718,7.718,7.718,0
217,74.0,,2024-02-09 00:00:00,8.599,9.38,9.487,8.599,7552
218,75.0,,2024-02-12 00:00:00,10.77,10.77,10.77,10.77,0
219,76.0,,2024-02-14 00:00:00,9.701,11.603,11.603,9.698,3405
220,77.0,,2024-02-15 00:00:00,12.035,12.035,12.035,12.035,0
221,78.0,,2024-02-19 00:00:00,11.303,11.303,11.303,11.303,0
222,79.0,,2024-02-21 00:00:00,10.408,10.408,10.408,10.408,250
223,80.0,,2024-02-22 00:00:00,10.644,10.644,10.644,10.644,0
224,81.0,,2024-02-26 00:00:00,10.111,11.059,11.059,10.111,600
225,82.0,,2024-02-27 00:00:00,12.291,12.197,12.291,12.197,845
226,83.0,,2024-02-28 00:00:00,12.301,12.301,12.301,12.301,250
227,84.0,,2024-02-29 00:00:00,12.6,11.9,12.6,11.9,20
228,85.0,,2024-03-01 00:00:00,10.825,10.917,10.917,10.825,264
229,86.0,,2024-03-04 00:00:00,11.816,11.429,11.843,11.429,1007
230,87.0,,2024-03-05 00:00:00,11.148,11.108,11.148,11.108,300
231,88.0,,2024-03-06 00:00:00,10.271,10.271,10.271,10.271,0
232,89.0,,2024-03-12 00:00:00,10.894,10.894,10.894,10.894,0
233,90.0,,2024-03-18 00:00:00,10.841,10.841,10.841,10.841,0
234,91.0,,2024-03-20 00:00:00,10.609,10.609,10.609,10.609,0
235,92.0,,2024-03-22 00:00:00,12.211,12.23,12.23,12.211,167
236,93.0,,2024-03-25 00:00:00,11.801,11.801,11.801,11.801,60
237,94.0,,2024-03-26 00:00:00,12.722,12.449,12.814,12.449,498
238,95.0,,2024-03-27 00:00:00,12.445,12.445,12.445,12.445,50
239,96.0,,2024-03-28 00:00:00,12.927,12.81,12.927,12.81,748
240,97.0,,2024-04-08 00:00:00,11.314,11.314,11.314,11.314,0
241,98.0,,2024-04-15 00:00:00,10.465,10.372,10.465,10.372,108
